	finished	start_time	finish_time	comment	ID	cont_url	line1_url	line2_url	out_url
30	True	00:37 Thu 20/04	04:10 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938268664	./Data/real_data/30-B-2938268664/cont.dat	./Data/real_data/30-B-2938268664/MGII.dat	./Data/real_data/30-B-2938268664/CIV.dat	./Data/real_data/30-B-2938268664/
31	True	01:00 Thu 20/04	09:37 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938398472	./Data/real_data/31-B-2938398472/cont.dat	./Data/real_data/31-B-2938398472/MGII.dat	./Data/real_data/31-B-2938398472/CIV.dat	./Data/real_data/31-B-2938398472/
32	True	02:28 Thu 20/04	05:53 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938497808	./Data/real_data/32-B-2938497808/cont.dat	./Data/real_data/32-B-2938497808/MGII.dat	./Data/real_data/32-B-2938497808/CIV.dat	./Data/real_data/32-B-2938497808/
33	True	03:25 Thu 20/04	10:03 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938498296	./Data/real_data/33-B-2938498296/cont.dat	./Data/real_data/33-B-2938498296/MGII.dat	./Data/real_data/33-B-2938498296/CIV.dat	./Data/real_data/33-B-2938498296/
34	True	03:44 Thu 20/04	06:19 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938638637	./Data/real_data/34-B-2938638637/cont.dat	./Data/real_data/34-B-2938638637/MGII.dat	./Data/real_data/34-B-2938638637/CIV.dat	./Data/real_data/34-B-2938638637/
35	True	03:56 Thu 20/04	08:53 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938666749	./Data/real_data/35-B-2938666749/cont.dat	./Data/real_data/35-B-2938666749/MGII.dat	./Data/real_data/35-B-2938666749/CIV.dat	./Data/real_data/35-B-2938666749/
36	True	04:11 Thu 20/04	08:13 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938756405	./Data/real_data/36-B-2938756405/cont.dat	./Data/real_data/36-B-2938756405/MGII.dat	./Data/real_data/36-B-2938756405/CIV.dat	./Data/real_data/36-B-2938756405/
37	True	04:37 Thu 20/04	07:36 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938870373	./Data/real_data/37-B-2938870373/cont.dat	./Data/real_data/37-B-2938870373/MGII.dat	./Data/real_data/37-B-2938870373/CIV.dat	./Data/real_data/37-B-2938870373/
38	True	05:53 Thu 20/04	09:35 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938878570	./Data/real_data/38-B-2938878570/cont.dat	./Data/real_data/38-B-2938878570/MGII.dat	./Data/real_data/38-B-2938878570/CIV.dat	./Data/real_data/38-B-2938878570/
39	True	06:19 Thu 20/04	09:51 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938969598	./Data/real_data/39-B-2938969598/cont.dat	./Data/real_data/39-B-2938969598/MGII.dat	./Data/real_data/39-B-2938969598/CIV.dat	./Data/real_data/39-B-2938969598/
40	True	06:28 Thu 20/04	10:43 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2938985411	./Data/real_data/40-B-2938985411/cont.dat	./Data/real_data/40-B-2938985411/MGII.dat	./Data/real_data/40-B-2938985411/CIV.dat	./Data/real_data/40-B-2938985411/
41	True	07:36 Thu 20/04	12:52 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939225137	./Data/real_data/41-B-2939225137/cont.dat	./Data/real_data/41-B-2939225137/MGII.dat	./Data/real_data/41-B-2939225137/CIV.dat	./Data/real_data/41-B-2939225137/
42	True	08:13 Thu 20/04	19:44 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939317867	./Data/real_data/42-B-2939317867/cont.dat	./Data/real_data/42-B-2939317867/MGII.dat	./Data/real_data/42-B-2939317867/CIV.dat	./Data/real_data/42-B-2939317867/
43	True	08:53 Thu 20/04	18:44 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939348426	./Data/real_data/43-B-2939348426/cont.dat	./Data/real_data/43-B-2939348426/MGII.dat	./Data/real_data/43-B-2939348426/CIV.dat	./Data/real_data/43-B-2939348426/
44	True	09:35 Thu 20/04	17:20 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939394160	./Data/real_data/44-B-2939394160/cont.dat	./Data/real_data/44-B-2939394160/MGII.dat	./Data/real_data/44-B-2939394160/CIV.dat	./Data/real_data/44-B-2939394160/
45	True	09:37 Thu 20/04	19:22 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939489514	./Data/real_data/45-B-2939489514/cont.dat	./Data/real_data/45-B-2939489514/MGII.dat	./Data/real_data/45-B-2939489514/CIV.dat	./Data/real_data/45-B-2939489514/
46	True	09:51 Thu 20/04	15:32 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939520972	./Data/real_data/46-B-2939520972/cont.dat	./Data/real_data/46-B-2939520972/MGII.dat	./Data/real_data/46-B-2939520972/CIV.dat	./Data/real_data/46-B-2939520972/
47	True	10:04 Thu 20/04	15:46 Thu 20/04	Job done /w 600 chains, 200 samples, 1000 burn in and 1 cores	2939531854	./Data/real_data/47-B-2939531854/cont.dat	./Data/real_data/47-B-2939531854/MGII.dat	./Data/real_data/47-B-2939531854/CIV.dat	./Data/real_data/47-B-2939531854/
