	ID	line_type	cont_url	line1_url	line2_url	cont_measurements	line1_measurements	line2_measurements	cont_sig2noise	line1_sig2noise	line2_sig2noise
49	2939627477	MGII/CIV	./real_data/49-B-2939627477/cont.dat	./real_data/49-B-2939627477/MGII.dat	./real_data/49-B-2939627477/CIV.dat	172	33	21	0.08762146437225211	0.20511045155932903	0.0
50	2939630161	MGII/CIV	./real_data/50-B-2939630161/cont.dat	./real_data/50-B-2939630161/MGII.dat	./real_data/50-B-2939630161/CIV.dat	97	32	2	0.11592946511342417	0.23603251845895704	0.0
51	2939649603	MGII/CIV	./real_data/51-B-2939649603/cont.dat	./real_data/51-B-2939649603/MGII.dat	./real_data/51-B-2939649603/CIV.dat	144	25	21	0.4680482751446465	0.2599757313387351	0.0
52	2939652807	MGII/CIV	./real_data/52-B-2939652807/cont.dat	./real_data/52-B-2939652807/MGII.dat	./real_data/52-B-2939652807/CIV.dat	106	23	19	0.21435010652425784	0.25348768303822083	0.0
53	2939694336	MGII/CIV	./real_data/53-B-2939694336/cont.dat	./real_data/53-B-2939694336/MGII.dat	./real_data/53-B-2939694336/CIV.dat	154	28	22	0.10303668800912709	0.1443496133878269	0.0
54	2939771369	MGII/CIV	./real_data/54-B-2939771369/cont.dat	./real_data/54-B-2939771369/MGII.dat	./real_data/54-B-2939771369/CIV.dat	85	24	19	0.09908474573623158	0.24005221950837055	0.0
55	2939776918	MGII/CIV	./real_data/55-B-2939776918/cont.dat	./real_data/55-B-2939776918/MGII.dat	./real_data/55-B-2939776918/CIV.dat	147	25	22	0.12297119675559784	0.2558784167750196	0.0
56	2939791816	MGII/CIV	./real_data/56-B-2939791816/cont.dat	./real_data/56-B-2939791816/MGII.dat	./real_data/56-B-2939791816/CIV.dat	225	55	26	0.1151509213094168	0.14156715644943985	0.0
57	2940060892	MGII/CIV	./real_data/57-B-2940060892/cont.dat	./real_data/57-B-2940060892/MGII.dat	./real_data/57-B-2940060892/CIV.dat	139	24	20	0.06202381467253353	0.13001416142792377	0.0
58	2940088831	MGII/CIV	./real_data/58-B-2940088831/cont.dat	./real_data/58-B-2940088831/MGII.dat	./real_data/58-B-2940088831/CIV.dat	131	23	19	0.13816204085544165	0.304970610800759	0.0
59	2940097386	MGII/CIV	./real_data/59-B-2940097386/cont.dat	./real_data/59-B-2940097386/MGII.dat	./real_data/59-B-2940097386/CIV.dat	139	23	19	0.08563202033647273	0.18300834345643216	0.0
60	2940140085	MGII/CIV	./real_data/60-B-2940140085/cont.dat	./real_data/60-B-2940140085/MGII.dat	./real_data/60-B-2940140085/CIV.dat	162	40	27	0.0	0.2770541563770463	0.0
61	2940147277	MGII/CIV	./real_data/61-B-2940147277/cont.dat	./real_data/61-B-2940147277/MGII.dat	./real_data/61-B-2940147277/CIV.dat	176	39	26	0.19449022615679484	0.30938584878907244	0.0
62	2940260013	MGII/CIV	./real_data/62-B-2940260013/cont.dat	./real_data/62-B-2940260013/MGII.dat	./real_data/62-B-2940260013/CIV.dat	149	27	22	0.06745108397654632	0.13355245299512192	0.0
63	2940327071	MGII/CIV	./real_data/63-B-2940327071/cont.dat	./real_data/63-B-2940327071/MGII.dat	./real_data/63-B-2940327071/CIV.dat	142	22	19	0.11180354928616615	0.15794676675172672	0.0
64	2940351862	MGII/CIV	./real_data/64-B-2940351862/cont.dat	./real_data/64-B-2940351862/MGII.dat	./real_data/64-B-2940351862/CIV.dat	134	24	20	0.10677239553494808	0.7547967568418118	0.0
65	2940510474	MGII/CIV	./real_data/65-B-2940510474/cont.dat	./real_data/65-B-2940510474/MGII.dat	./real_data/65-B-2940510474/CIV.dat	180	42	27	0.1142611809107272	0.3186798195800659	0.0
66	2940557913	MGII/CIV	./real_data/66-B-2940557913/cont.dat	./real_data/66-B-2940557913/MGII.dat	./real_data/66-B-2940557913/CIV.dat	119	36	23	0.16716751403776803	0.3702125155317151	0.0
67	2940670625	MGII/CIV	./real_data/67-B-2940670625/cont.dat	./real_data/67-B-2940670625/MGII.dat	./real_data/67-B-2940670625/CIV.dat	152	16	12	0.08628125212893735	0.5500049588455583	0.0
68	2940876978	MGII/CIV	./real_data/68-B-2940876978/cont.dat	./real_data/68-B-2940876978/MGII.dat	./real_data/68-B-2940876978/CIV.dat	186	35	25	0.13578575076432145	0.1732841145017715	0.0
